City,Country,Region,County, Total_Population , White , % white , Black_African , %Black African , Asian , %Asian , Other_Ethnicity , % other_Ethinic , Total_NonWhite ,% non_white
London,England,Greater London,Greater London," 9,188,200.00 "," 4,961,628.00 ",54%," 1,286,348.00 ",14%," 1,929,522.00 ",21%," 1,010,702.00 ",11%," 4,226,572.00 ",46%
Birmingham,England,West Midlands,West Midlands," 1,199,447.00 "," 582,931.00 ",49%," 130,740.00 ",11%," 358,635.00 ",30%," 127,141.00 ",11%," 616,516.00 ",51%
Leeds,England,Yorkshire and The Humber,West Yorkshire," 860,894.00 "," 628,453.00 ",73%," 43,045.00 ",5%," 120,525.00 ",14%," 68,872.00 ",8%," 232,442.00 ",27%
Glasgow,Scotland,Scotland,Greater Glasgow," 663,221.00 "," 557,106.00 ",84%," 26,529.00 ",4%," 53,058.00 ",8%," 26,529.00 ",4%," 106,116.00 ",16%
Manchester,England,North West England,Greater Manchester," 605,521.00 "," 357,257.00 ",59%," 48,442.00 ",8%," 102,939.00 ",17%," 96,883.00 ",16%," 248,264.00 ",41%
Cornwall,England,South West England,Cornwall," 591,594.00 "," 573,846.00 ",97%," 5,916.00 ",1%," 5,916.00 ",1%," 5,916.00 ",1%," 17,748.00 ",3%
Sheffield,England,Yorkshire and The Humber,South Yorkshire," 588,768.00 "," 423,913.00 ",72%," 29,438.00 ",5%," 82,428.00 ",14%," 52,989.00 ",9%," 164,855.00 ",28%
Bradford,England,Yorkshire and The Humber,West Yorkshire," 570,186.00 "," 330,708.00 ",58%," 28,509.00 ",5%," 171,056.00 ",30%," 39,913.00 ",7%," 239,478.00 ",42%
County Durham,England,North East England,County Durham," 543,515.00 "," 516,339.00 ",95%," 5,435.00 ",1%," 10,870.00 ",2%," 10,870.00 ",2%," 27,175.00 ",5%
Edinburgh,Scotland,Scotland,Lothian," 540,101.00 "," 459,086.00 ",85%," 16,203.00 ",3%," 43,208.00 ",8%," 21,604.00 ",4%," 81,015.00 ",15%
